date,confirmed,deaths,recovered,new_confirmed,new_deaths,new_recovered,new_confirmed_smooth,new_deaths_smooth,new_recovered_smooth
2020-06-26,18152,971,16224,105,0,82,93.57142857142857,1.8571428571428572,61.57142857142857
2020-06-27,18244,972,16293,92,1,69,105.14285714285714,1.2857142857142858,51.714285714285715
2020-06-28,18357,972,16327,113,0,34,109.57142857142857,1.0,66.0
2020-06-29,18467,974,16388,110,2,61,125.57142857142857,0.8571428571428571,67.57142857142857
2020-06-30,18605,974,16458,138,0,70,146.28571428571428,0.8571428571428571,71.0
2020-07-01,18732,976,16563,127,2,105,172.28571428571428,0.7142857142857143,77.0
2020-07-02,18926,977,16615,194,1,52,185.85714285714286,0.7142857142857143,77.57142857142857
2020-07-03,19176,977,16721,250,0,106,195.28571428571428,0.5714285714285714,88.42857142857143
2020-07-04,19450,977,16832,274,0,111,205.28571428571428,0.8571428571428571,85.57142857142857
2020-07-05,19658,977,16870,208,0,38,216.71428571428572,0.8571428571428571,70.57142857142857
2020-07-06,19834,978,17007,176,1,137,239.71428571428572,0.7142857142857143,113.85714285714286
2020-07-07,20042,980,17057,208,2,50,265.42857142857144,0.7142857142857143,110.42857142857143
2020-07-08,20249,982,17057,207,2,0,281.42857142857144,0.8571428571428571,94.57142857142857
2020-07-09,20604,982,17412,355,0,355,309.85714285714283,0.8571428571428571,139.28571428571428
2020-07-10,21034,982,17494,430,0,82,321.7142857142857,0.8571428571428571,150.14285714285714
2020-07-11,21420,983,17494,386,1,0,339.57142857142856,0.5714285714285714,152.71428571428572
2020-07-12,21827,983,17845,407,0,351,374.2857142857143,0.42857142857142855,152.71428571428572
2020-07-13,22086,984,18058,259,1,213,412.7142857142857,0.42857142857142855,175.57142857142858
2020-07-14,22419,984,18126,333,0,68,436.57142857142856,0.42857142857142855,207.14285714285714
2020-07-15,22869,985,18126,450,1,0,475.85714285714283,0.42857142857142855,245.28571428571428
2020-07-16,23493,985,18641,624,0,515,490.7142857142857,0.42857142857142855,195.14285714285714
2020-07-17,24090,985,18944,597,0,303,513.4285714285714,0.5714285714285714,220.71428571428572
2020-07-18,24751,986,19211,661,1,267,556.1428571428571,0.7142857142857143,267.85714285714283
2020-07-19,25262,986,19211,511,0,0,605.4285714285714,0.7142857142857143,336.57142857142856
2020-07-20,25680,988,19603,418,2,392,656.4285714285714,1.0,319.57142857142856
2020-07-21,26312,989,20001,632,1,398,682.4285714285714,1.4285714285714286,318.42857142857144
2020-07-22,27107,990,20482,795,1,481,702.4285714285714,1.7142857142857142,321.85714285714283
2020-07-23,28088,992,20878,981,2,396,749.2857142857143,1.7142857142857142,342.14285714285717
2020-07-24,28867,995,21173,779,3,295,775.2857142857143,1.5714285714285714,338.14285714285717
2020-07-25,29668,998,21464,801,3,291,825.7142857142857,1.8571428571428572,376.42857142857144
2020-07-26,30507,998,21606,839,0,142,893.5714285714286,2.2857142857142856,409.85714285714283
2020-07-27,31107,999,21970,600,1,364,940.2857142857143,2.142857142857143,449.42857142857144
2020-07-28,32092,1002,22636,985,3,666,1055.5714285714287,2.5714285714285716,514.4285714285714
2020-07-29,33362,1006,23351,1270,4,715,1160.2857142857142,2.142857142857143,554.7142857142857
2020-07-30,34670,1007,24024,1308,1,673,1230.5714285714287,2.142857142857143,591.7142857142857
2020-07-31,36256,1013,24774,1586,6,750,1282.7142857142858,2.7142857142857144,643.7142857142857
2020-08-01,37790,1013,25347,1534,0,573,1320.0,3.0,650.1428571428571
2020-08-02,39121,1013,25748,1331,0,401,1332.142857142857,3.4285714285714284,667.0
2020-08-03,40086,1018,26476,965,5,728,1357.4285714285713,4.142857142857143,690.5714285714286
2020-08-04,41332,1023,27187,1246,5,711,1360.142857142857,4.285714285714286,781.0
2020-08-05,42687,1030,28020,1355,7,833,1365.4285714285713,4.428571428571429,843.0
2020-08-06,44172,1036,28858,1485,6,838,1381.142857142857,5.142857142857143,1017.0
2020-08-07,45777,1043,30241,1605,7,1383,1363.0,5.142857142857143,996.2857142857143
