date,actual_confirmed,predicted_confirmed,actual_recovered,predicted_recovered,actual_deaths,predicted_deaths
2022-09-16,74667.28571428571,73042.64,0.0,-250.8427,148.42857142857142,235.21059
2022-09-17,66689.14285714286,70605.445,0.0,-246.02937,135.14285714285714,218.25482
2022-09-18,62344.00000000001,67951.69,0.0,-242.43372,126.85714285714286,201.96007
2022-09-19,61128.14285714285,65139.02,0.0,-239.13817,117.0,186.78545
2022-09-20,59397.0,62313.184,0.0,-237.64719,104.14285714285714,172.2885
2022-09-21,54863.0,59584.81,0.0,-234.67937,94.14285714285714,158.42635
2022-09-22,52393.857142857145,56853.49,0.0,-228.62965,90.85714285714286,145.17274
2022-09-23,53178.71428571428,54212.9,0.0,-219.20782,90.42857142857144,132.80844
2022-09-24,54891.42857142857,51957.535,0.0,-205.8881,87.28571428571429,121.58103
2022-09-25,52058.0,50240.844,0.0,-191.18881,83.0,111.543396
2022-09-26,47029.42857142857,48917.53,0.0,-175.90761,86.57142857142857,102.92394
2022-09-27,43144.857142857145,47625.42,0.0,-160.72574,90.0,95.77363
2022-09-28,42628.42857142857,46149.277,0.0,-145.16753,95.28571428571428,89.85157
2022-09-29,40135.57142857143,44637.32,0.0,-128.2696,98.42857142857144,85.17279
2022-09-30,36083.57142857143,43077.105,0.0,-112.262764,95.42857142857144,81.528046
2022-10-01,35514.0,41360.137,0.0,-97.73536,89.71428571428571,78.47315
2022-10-02,34282.42857142857,39552.73,0.0,-85.88293,86.57142857142857,75.60831
2022-10-03,33034.857142857145,37629.13,0.0,-77.1986,81.42857142857143,73.12579
2022-10-04,32005.857142857145,35705.16,0.0,-71.14803,76.0,70.8504
2022-10-05,30746.857142857138,33875.66,0.0,-66.40483,72.85714285714286,68.51998
2022-10-06,29816.000000000004,32215.291,0.0,-63.5698,70.85714285714286,66.20685
2022-10-07,29511.85714285714,30655.77,0.0,-61.64387,70.42857142857143,64.15844
2022-10-08,25711.85714285714,29240.684,0.0,-59.371384,65.0,62.362556
2022-10-09,26304.285714285717,27755.033,0.0,-56.861095,62.14285714285715,60.509846
2022-10-10,28054.285714285717,26339.695,0.0,-53.97893,60.28571428571429,58.576332
2022-10-11,29077.42857142857,25227.064,0.0,-50.888096,58.85714285714285,56.70444
2022-10-12,30270.714285714283,24496.406,0.0,-47.067978,56.57142857142857,54.964626
2022-10-13,31251.571428571428,24139.236,0.0,-42.79106,55.14285714285715,53.34647
2022-10-14,31585.000000000004,24121.941,0.0,-38.06627,50.85714285714285,51.849045
2022-10-15,35752.28571428572,24366.607,0.0,-34.097248,55.0,50.38434
2022-10-16,35473.71428571428,25039.93,0.0,-29.191265,57.0,49.294086
2022-10-17,34105.142857142855,25860.846,0.0,-24.31286,55.99999999999999,48.598644
2022-10-18,33389.142857142855,26672.416,0.0,-20.829994,56.57142857142857,48.084312
2022-10-19,33251.28571428572,27397.379,0.0,-18.780693,58.142857142857146,47.727352
2022-10-20,33424.28571428572,28042.861,0.0,-17.45049,57.71428571428572,47.555576
2022-10-21,33635.71428571428,28617.764,0.0,-16.565308,59.85714285714284,47.46999
2022-10-22,34408.857142857145,29068.654,0.0,-15.601367,57.285714285714285,47.532883
2022-10-23,35371.57142857143,29441.857,0.0,-14.842435,57.142857142857146,47.589725
2022-10-24,36318.28571428572,29838.408,0.0,-14.292604,57.142857142857146,47.71717
2022-10-25,37412.71428571428,30269.402,0.0,-14.229194,54.85714285714284,47.879158
2022-10-26,38891.28571428572,30752.197,0.0,-14.437414,52.0,47.960495
2022-10-27,40282.42857142857,31374.672,0.0,-15.381369,51.71428571428572,47.902344
2022-10-28,41066.57142857143,32159.09,0.0,-16.48674,50.0,47.781292
2022-10-29,43577.142857142855,33042.582,0.0,-18.007317,52.0,47.579388
2022-10-30,46448.857142857145,34091.23,0.0,-19.335688,52.42857142857143,47.470238
2022-10-31,49982.57142857143,35367.844,0.0,-19.820488,52.142857142857146,47.41347
2022-11-01,49241.142857142855,37041.42,0.0,-17.585331,53.28571428571429,47.437634
2022-11-02,53476.42857142857,38842.535,0.0,-15.161536,55.285714285714285,47.621086
2022-11-03,57160.142857142855,40934.715,0.0,-11.658422,55.85714285714285,48.125896
2022-11-04,58486.0,43341.14,0.0,-7.2474504,58.57142857142856,48.9922
2022-11-05,60789.0,45879.594,0.0,-3.23674,61.142857142857146,50.382656
2022-11-06,63219.57142857143,48483.97,0.0,-0.70658547,65.0,52.343636
2022-11-07,64805.857142857145,50949.336,0.0,-0.74032533,69.42857142857143,54.91764
2022-11-08,70524.28571428571,53343.082,0.0,-3.3911393,72.57142857142857,58.17267
2022-11-09,71283.71428571429,55911.285,0.0,-7.4723506,75.85714285714286,62.08948
2022-11-10,71640.42857142857,58285.598,0.0,-14.9029665,78.85714285714286,66.54988
2022-11-11,72488.0,60316.02,0.0,-27.987028,79.71428571428571,71.28359
2022-11-12,75120.14285714286,62001.254,0.0,-45.60227,69.71428571428571,76.04587
2022-11-13,78019.0,63474.996,0.0,-65.42521,71.71428571428571,80.36528
2022-11-14,79880.28571428571,64901.67,0.0,-82.82773,77.42857142857143,84.17935
2022-11-15,81549.0,66252.69,0.0,-100.05185,79.0,87.963326
