无隔离,轻度隔离,严格隔离
987253.670919864,179535.83470100138,7399.422255426404
1292223.0681698252,230852.7592103566,8907.800158119437
1676666.6007555395,296336.0091415474,10722.891219981944
2151218.3426195015,379570.8939191867,12906.715734993384
2721235.1287295124,484841.26065736846,15533.680154614873
3382255.135262275,617129.8503420432,18692.97983290383
4114973.495865446,782015.2411176447,22491.437787902887
4881423.338833253,985397.8056691083,27056.842476368085
5624860.130189595,1232969.5089285164,32541.84971176506
6275630.26569307,1529337.9839768251,39128.51909732281
6763337.043418686,1876744.2087453774,47033.53416950064
7032340.429845615,2273401.451748222,56514.15379687221
7055026.643155678,2711652.647156857,67874.89436694534
6837559.436654057,3176383.905854484,81474.894507447
6416202.985139148,3644367.6112567233,97735.8241664391
5846552.694169794,4085279.6512224814,117150.06181237772
5190418.56316272,4464859.029005102,140288.67351665252
4504737.024219879,4749989.679858006,167808.45710915935
3834795.9109570608,4914597.182975602,200456.93096795207
3211874.4695270495,4944644.281483935,239073.656337297
2654104.5475546583,4840619.608366131,284585.70330664143
2169042.223635536,4616790.352944021,337994.2967616057
1756724.6003473627,4297674.542415306,400348.94118513935
1412463.5103307401,3913055.835499669,472704.6075409566
1129047.0321147756,3493052.939368881,556057.1821597306
898294.9129896102,3064349.0349778654,651252.5569103211
712053.7825439967,2648033.0374726057,758866.2729854479
562766.1646015691,2258941.911861859,879053.5657489224
443743.86783436185,1906086.5953341033,1011375.3448344079
349252.497274098,1593676.676986671,1154613.529108285
274485.26084034663,1322344.4401748558,1306599.2464991654
215479.0829817686,1090306.773191352,1464087.9164233173
169006.6380207607,894331.9809369731,1622722.8705787705
132464.18100833087,730471.1841083285,1777129.4653503604
103765.95307458684,594568.3080340849,1921170.5350386086
81250.23345057174,482587.43061007356,2048368.3702003106
63598.68864713124,390802.27621944755,2152462.366071111
49768.81000699154,315888.82832115673,2228031.953028838
38938.28228377358,254954.02659878827,2271084.6776691587
30459.74363059019,205525.32493713257,2279502.946745079
23824.339832996182,165518.43298119152,2253264.410091765
18632.564142466374,133194.78445307133,2194397.4823809876
14571.049595099197,107116.00379765376,2106689.01335539
11394.173272189772,86099.65321670986,1995210.5302375543
8909.51969966845,69178.56293244917,1865756.3892949456
6966.421175160137,55564.77038719011,1724289.2672985902
5446.940386859662,44618.335606118075,1576468.2302713657
4258.7849630372475,35820.82068577815,1427303.7413533858
3329.7462269790026,28753.06289966615,1280952.0075943137
2603.3380442343428,23076.695745626766,1140636.3763231717
2035.3790882300348,18518.92298727403,1008668.8400618104
1591.3158454589047,14860.033410524764,886539.4727255754
1244.1266743230035,11923.213435301042,775043.4935943952
972.6813211582945,9566.263732202578,674421.639109249
760.4572405800485,7674.882383481532,584496.6770953968
594.5353110147402,6157.229516718661,504795.48964393424
464.81425399592877,4939.53773040363,434651.68191346555
363.39620290285495,3962.5715920165235,373287.47455329716
284.1061785142887,3178.775060141283,319876.05289125576
222.11631548137544,2549.9751255032807,273586.8613501912
173.65202140845852,2045.5347092383656,233616.7891175747
135.7622143559912,1640.867682842801,199210.2422683517
106.13967128380109,1316.2454996447461,169670.76205512387
82.98056209623299,1055.8385924581796,144366.4671688371
64.87462445024447,846.9465396506896,122731.16147908474
50.71929687875626,679.3799386791073,104262.53505427008
39.65258460519845,544.9642906596007,88518.51989286173
31.000571864160126,437.141716337053,75112.62123578784
24.236385660011962,350.65138863873835,63708.74420897925
18.94811275749853,281.2730697552684,54015.923885522454
14.81371662038739,225.62133524190412,45783.19513528589
11.581427105533692,180.98047054232796,38794.757586467436
9.054408882052648,145.17201079774847,32865.52370257755
7.078775037142024,116.4484669068011,27837.091119734698
5.534215999679543,93.40807435012083,23574.13780826697
4.326673210674856,74.92639992486568,19961.2340804559
3.3826111663877367,60.10147882548919,16900.043435939235
2.6445394879938204,48.2097996745474,14306.880736649884
2.0675119263530557,38.67099935086907,12110.593936747213
1.6163893574325232,31.019542372493696,10250.732863718682
1.2636998711386003,24.882001821097916,8675.97169475365
0.9879657606343967,19.958835311875745,7342.756301726696
0.7723956874984795,16.009767755222697,6214.143701106191
0.6038621249274988,12.842064171034515,5258.810837218912
0.47210189468012237,10.301123982816373,4450.208312553578
0.3690911924292997,8.262935727484521,3765.8389314744873
