date,new_confirmed,new_confirmed_smooth
2020-09-28,36571,41337.42857142857
2020-09-29,42290,42183.28571428572
2020-09-30,38916,42967.57142857143
2020-10-01,46362,42919.42857142857
2020-10-02,53547,43116.0
2020-10-03,49380,43506.142857142855
2020-10-04,33370,45013.42857142857
2020-10-05,37947,46706.42857142857
2020-10-06,45021,46961.28571428572
2020-10-07,49467,47800.42857142857
2020-10-08,58213,49730.42857142857
2020-10-09,55331,50445.857142857145
2020-10-10,55254,51242.28571428572
2020-10-11,46880,52628.57142857143
2020-10-12,42955,53435.57142857143
2020-10-13,50596,55575.42857142857
2020-10-14,59171,55517.71428571428
2020-10-15,63862,56291.142857142855
2020-10-16,70310,59974.28571428572
2020-10-17,54850,61685.0
2020-10-18,52294,62007.0
2020-10-19,68737,64343.28571428572
2020-10-20,62571,66032.14285714286
2020-10-21,61425,69353.42857142857
2020-10-22,80216,70508.14285714286
2020-10-23,82132,69898.57142857143
2020-10-24,78099,72242.28571428571
2020-10-25,60377,76094.14285714286
2020-10-26,64470,77874.57142857143
2020-10-27,78977,80498.42857142857
2020-10-28,88388,81737.42857142857
2020-10-29,92679,84274.71428571429
2020-10-30,100499,87055.85714285714
2020-10-31,86772,93902.28571428571
2020-11-01,78138,95856.71428571429
2020-11-02,83938,101192.85714285714
2020-11-03,126902,105282.57142857143
2020-11-04,102069,111061.14285714286
2020-11-05,130032,116951.14285714286
2020-11-06,129127,122035.0
2020-11-07,127222,123777.71428571429
2020-11-08,119368,130562.0
2020-11-09,119525,134792.14285714287
2020-11-10,139101,141882.7142857143
2020-11-11,149559,146987.7142857143
2020-11-12,159643,149722.85714285713
2020-11-13,178761,154896.0
2020-11-14,162957,158931.85714285713
2020-11-15,138514,162340.0
2020-11-16,155737,166957.7142857143
2020-11-17,167352,170146.85714285713
2020-11-18,173416,172239.2857142857
2020-11-19,191967,173199.42857142858
2020-11-20,201085,177277.85714285713
2020-11-21,177604,178365.85714285713
2020-11-22,145235,179485.14285714287
2020-11-23,184286,168191.42857142858
2020-11-24,174968,170208.14285714287
2020-11-25,181251,168763.14285714287
2020-11-26,112911,167968.57142857142
2020-11-27,215202,164289.2857142857
2020-11-28,167489,167698.2857142857
2020-11-29,139673,169950.42857142858
2020-11-30,158531,185166.42857142858
2020-12-01,198831,188013.85714285713
2020-12-02,197016,195504.42857142858
2020-12-03,219423,200998.42857142858
2020-12-04,235134,206385.57142857142
2020-12-05,219923,210481.0
2020-12-06,178131,213155.14285714287
2020-12-07,196241,215491.42857142858
2020-12-08,227499,215744.0
2020-12-09,215735,216148.7142857143
2020-12-10,235777,217936.0
2020-12-11,236902,219953.14285714287
2020-12-12,222756,219913.42857142858
2020-12-13,190642,222543.14285714287
2020-12-14,210361,223028.42857142858
2020-12-15,227221,224391.0
2020-12-16,234143,221858.0
2020-12-17,239174,221219.0
2020-12-18,246440,219371.0
2020-12-19,205025,216309.42857142858
2020-12-20,186169,214401.42857142858
2020-12-21,197425,210461.57142857142
2020-12-22,205790,193187.85714285713
2020-12-23,220787,195036.85714285713
2020-12-24,211595,187896.0
2020-12-25,125524,184640.0
2020-12-26,217968,184790.14285714287
2020-12-27,136183,184498.85714285713
2020-12-28,174633,199117.57142857142
2020-12-29,206841,206545.57142857142
2020-12-30,218748,214353.57142857142
2020-12-31,313926,223929.2857142857
2021-01-01,177520,225657.85714285713
2021-01-02,272624,229272.2857142857
2021-01-03,203213,235124.7142857143
2021-01-04,186733,231001.42857142858
2021-01-05,232142,248907.14285714287
2021-01-06,259715,247604.2857142857
2021-01-07,285063,248566.14285714287
2021-01-08,302860,251104.57142857142
2021-01-09,263504,249715.14285714287
2021-01-10,209946,245280.85714285713
2021-01-11,204502,238118.14285714287
2021-01-12,222416,229757.57142857142
2021-01-13,228675,223111.57142857142
2021-01-14,234924,218285.7142857143
2021-01-15,244336,209254.57142857142
2021-01-16,216982,199911.42857142858
2021-01-17,176165,194053.2857142857
2021-01-18,141284,187925.14285714287
2021-01-19,157014,180356.57142857142
2021-01-20,187668,174693.2857142857
2021-01-21,192027,169497.57142857142
2021-01-22,191356,167881.7142857143
2021-01-23,177339,167064.57142857142
2021-01-24,139795,162421.2857142857
2021-01-25,129973,158805.2857142857
2021-01-26,151294,154797.14285714287
2021-01-27,155165,150950.0
2021-01-28,166715,147060.85714285713
2021-01-29,163299,146466.42857142858
2021-01-30,150409,141623.0
2021-01-31,112571,137224.42857142858
2021-02-01,125812,131215.57142857142
2021-02-02,117390,126516.71428571429
2021-02-03,124375,121641.14285714286
2021-02-04,124653,118298.0
2021-02-05,130407,112205.14285714286
2021-02-06,116280,109114.85714285714
2021-02-07,89169,105017.71428571429
2021-02-08,83162,102374.71428571429
2021-02-09,95758,97967.85714285714
2021-02-10,95695,94263.28571428571
2021-02-11,106152,91266.28571428571
2021-02-12,99559,87400.85714285714
2021-02-13,90348,82269.42857142857
2021-02-14,68190,78456.57142857143
2021-02-15,56104,73613.42857142857
2021-02-16,59838,70087.0
2021-02-17,69005,67691.71428571429
2021-02-18,72250,65843.57142857143
2021-02-19,74874,65836.71428571429
2021-02-20,73581,67835.57142857143
2021-02-21,55253,68689.28571428571
2021-02-22,56056,69376.42857142857
2021-02-23,73830,69383.42857142857
2021-02-24,74981,68990.42857142857
2021-02-25,77060,68476.57142857143
2021-02-26,74923,67628.85714285714
2021-02-27,70830,65464.0
2021-02-28,51656,64333.57142857143
2021-03-01,50122,63102.28571428572
2021-03-02,58676,61996.42857142857
2021-03-03,67068,60558.28571428572
2021-03-04,68441,59113.71428571428
2021-03-05,67182,58346.0
2021-03-06,60763,57939.57142857143
2021-03-07,41544,56604.142857142855
2021-03-08,44748,55649.0
2021-03-09,55831,54947.857142857145
2021-03-10,57720,54304.28571428572
2021-03-11,61755,53878.857142857145
2021-03-12,62274,54848.71428571428
2021-03-13,56258,54741.28571428572
2021-03-14,38566,55049.71428571428
2021-03-15,51537,55113.71428571428
2021-03-16,55079,54918.857142857145
2021-03-17,59879,55205.857142857145
2021-03-18,62203,54755.28571428572
2021-03-19,60910,54312.42857142857
2021-03-20,58267,53976.28571428572
2021-03-21,35412,57968.57142857143
2021-03-22,48437,58709.42857142857
2021-03-23,52726,60885.71428571428
2021-03-24,87825,61675.0
2021-03-25,67389,63240.71428571428
2021-03-26,76144,65841.57142857143
2021-03-27,63792,67198.14285714286
2021-03-28,46372,64566.28571428572
2021-03-29,66643,65917.14285714286
2021-03-30,62222,65591.42857142857
2021-03-31,69402,65693.85714285714
2021-04-01,76845,64478.857142857145
2021-04-02,73864,64704.71428571428
2021-04-03,64509,64872.28571428572
2021-04-04,37867,65777.57142857143
2021-04-05,68224,66206.0
2021-04-06,63395,67712.85714285714
2021-04-07,75739,68549.28571428571
2021-04-08,79844,69901.28571428571
2021-04-09,84412,69183.85714285714
2021-04-10,70364,71657.85714285714
2021-04-11,47331,71546.85714285714
2021-04-12,63202,70744.57142857143
2021-04-13,80713,70506.85714285714
2021-04-14,74962,68366.85714285714
2021-04-15,74228,67865.71428571429
2021-04-16,82748,67384.71428571429
2021-04-17,55384,64772.71428571428
2021-04-18,43823,63305.28571428572
2021-04-19,59835,62160.28571428572
2021-04-20,62429,59289.142857142855
2021-04-21,64690,59135.28571428572
2021-04-22,66213,57790.28571428572
2021-04-23,62650,55426.42857142857
2021-04-24,54307,53944.71428571428
2021-04-25,34408,52679.57142857143
2021-04-26,43288,51460.42857142857
2021-04-27,52057,50757.0
2021-04-28,55834,49880.42857142857
2021-04-29,57679,49335.857142857145
2021-04-30,57726,49637.57142857143
2021-05-01,48171,48304.71428571428
2021-05-02,30596,46870.57142857143
2021-05-03,45400,45194.28571428572
2021-05-04,42727,43828.42857142857
2021-05-05,45795,41941.71428571428
