date,new_confirmed,new_confirmed_smooth
2021-02-16,3856,7089.428571428572
2021-02-17,7556,7205.142857142857
2021-02-18,10207,7428.285714285715
2021-02-19,9113,7420.142857142857
2021-02-20,9164,7424.0
2021-02-21,7676,7488.428571428572
2021-02-22,4369,7725.857142857143
2021-02-23,3883,7852.142857142857
2021-02-24,8007,7937.571428571428
2021-02-25,11869,7968.142857142857
2021-02-26,9997,8020.0
2021-02-27,9762,8028.571428571428
2021-02-28,7890,8173.142857142857
2021-03-01,4732,8179.285714285715
2021-03-02,3943,8262.57142857143
2021-03-03,9019,8233.285714285714
2021-03-04,11912,8263.714285714286
2021-03-05,10580,8303.57142857143
2021-03-06,9557,8347.714285714286
2021-03-07,8103,8365.857142857143
2021-03-08,5011,8715.0
2021-03-09,4252,9037.0
2021-03-10,9146,9482.285714285714
2021-03-11,14356,9866.142857142857
2021-03-12,12834,10093.714285714286
2021-03-13,12674,10269.142857142857
2021-03-14,10790,10881.857142857143
2021-03-15,6604,11331.57142857143
2021-03-16,5480,11995.57142857143
2021-03-17,13435,12475.42857142857
2021-03-18,17504,12895.857142857143
2021-03-19,17482,13053.714285714286
2021-03-20,16033,13340.142857142857
2021-03-21,13733,13679.857142857143
2021-03-22,7709,14416.0
2021-03-23,7485,15000.42857142857
2021-03-24,15813,15634.57142857143
2021-03-25,22657,16126.42857142857
2021-03-26,21573,16435.428571428572
2021-03-27,20472,16730.285714285714
2021-03-28,17176,16907.14285714286
2021-03-29,9872,17141.85714285714
2021-03-30,9549,17186.85714285714
2021-03-31,17051,16852.14285714286
2021-04-01,24300,16140.714285714286
2021-04-02,21888,15944.285714285714
2021-04-03,18129,15563.714285714286
2021-04-04,12196,14510.285714285714
2021-04-05,8497,13954.142857142857
2021-04-06,6885,14465.0
2021-04-07,9677,15317.57142857143
2021-04-08,20407,16126.0
2021-04-09,25464,16804.285714285714
2021-04-10,24097,17365.0
2021-04-11,17855,19081.571428571428
2021-04-12,13245,20370.0
2021-04-13,10810,20422.428571428572
2021-04-14,21693,20380.571428571428
2021-04-15,29426,20570.571428571428
2021-04-16,25831,20312.285714285714
2021-04-17,23804,20140.714285714286
2021-04-18,19185,20596.571428571428
2021-04-19,11437,20609.714285714286
2021-04-20,9609,20854.285714285714
2021-04-21,24884,20795.428571428572
2021-04-22,29518,20736.571428571428
2021-04-23,27543,20803.714285714286
2021-04-24,23392,20999.0
2021-04-25,18773,20620.0
2021-04-26,11907,19936.85714285714
2021-04-27,10976,19477.714285714286
2021-04-28,22231,18841.0
2021-04-29,24736,18486.285714285714
2021-04-30,24329,18093.85714285714
2021-05-01,18935,17602.14285714286
2021-05-02,16290,17002.571428571428
2021-05-03,9160,16605.0
2021-05-04,7534,15770.142857142857
2021-05-05,18034,15305.857142857143
2021-05-06,21953,14786.714285714286
2021-05-07,18485,14467.0
2021-05-08,15685,14265.714285714286
2021-05-09,12656,13819.285714285714
2021-05-10,6922,13171.57142857143
2021-05-11,6125,12150.285714285714
2021-05-12,14909,11037.285714285714
2021-05-13,17419,10443.57142857143
2021-05-14,11336,10227.857142857143
2021-05-15,7894,9954.142857142857
2021-05-16,8500,9401.42857142857
2021-05-17,5412,8669.857142857143
2021-05-18,4209,8303.142857142857
2021-05-19,11040,8187.142857142857
2021-05-20,12298,7932.0
2021-05-21,8769,7542.0
2021-05-22,7082,7213.714285714285
2021-05-23,6714,6011.714285714285
2021-05-24,2682,5156.714285714285
2021-05-25,1911,4958.285714285715
2021-05-26,2626,4721.714285714285
2021-05-27,6313,4312.857142857143
2021-05-28,7380,4212.285714285715
2021-05-29,5426,4194.285714285715
2021-05-30,3852,4521.571428571428
2021-05-31,1978,4282.571428571428
2021-06-01,1785,3680.4285714285716
2021-06-02,4917,3233.0
2021-06-03,4640,3031.285714285714
2021-06-04,3165,2908.285714285714
2021-06-05,2294,2825.285714285714
2021-06-06,2440,2587.714285714286
2021-06-07,1117,2380.1428571428573
2021-06-08,1204,2276.5714285714284
2021-06-09,3254,2221.8571428571427
2021-06-10,3187,2086.0
2021-06-11,2440,2004.857142857143
2021-06-12,1911,1926.0
2021-06-13,1489,1669.0
2021-06-14,549,1403.7142857142858
2021-06-15,652,1208.857142857143
2021-06-16,1455,935.8571428571429
2021-06-17,1330,1001.7142857142857
2021-06-18,1076,972.7142857142857
2021-06-19,0,944.5714285714286
2021-06-20,1950,881.8571428571429
2021-06-21,346,835.8571428571429
2021-06-22,455,792.7142857142857
2021-06-23,1016,877.2857142857143
2021-06-24,1008,675.5714285714286
2021-06-25,774,657.4285714285714
2021-06-26,592,650.1428571428571
2021-06-27,538,620.4285714285714
2021-06-28,219,603.8571428571429
2021-06-29,404,586.0
2021-06-30,808,501.42857142857144
2021-07-01,892,424.57142857142856
2021-07-02,649,599.2857142857143
2021-07-03,0,604.4285714285714
2021-07-04,0,629.7142857142857
2021-07-05,1442,640.8571428571429
2021-07-06,440,683.7142857142857
2021-07-07,985,683.7142857142857
2021-07-08,970,683.7142857142857
2021-07-09,949,766.4285714285714
2021-07-10,0,795.8571428571429
2021-07-11,0,876.2857142857143
2021-07-12,2021,972.2857142857143
2021-07-13,646,1044.7142857142858
2021-07-14,1548,1044.7142857142858
2021-07-15,1642,1044.7142857142858
2021-07-16,1456,1248.2857142857142
2021-07-17,0,1325.0
2021-07-18,0,1418.5714285714287
2021-07-19,3446,1454.0
2021-07-20,1183,1544.4285714285713
2021-07-21,2203,1544.4285714285713
2021-07-22,1890,1544.4285714285713
2021-07-23,2089,1661.2857142857142
2021-07-24,0,1713.0
2021-07-25,0,1793.7142857142858
2021-07-26,4264,1972.5714285714287
2021-07-27,1545,2024.7142857142858
2021-07-28,2768,2024.7142857142858
2021-07-29,3142,2024.7142857142858
2021-07-30,2454,2179.0
2021-07-31,0,2210.5714285714284
2021-08-01,0,2325.285714285714
2021-08-02,5344,2382.0
2021-08-03,1766,2524.0
2021-08-04,3571,2524.0
2021-08-05,3539,2524.0
2021-08-06,3448,2834.285714285714
2021-08-07,0,2936.285714285714
2021-08-08,0,3139.8571428571427
2021-08-09,7516,3439.714285714286
2021-08-10,2480,3744.0
2021-08-11,4996,3744.0
2021-08-12,5638,3744.0
2021-08-13,5578,4455.714285714285
2021-08-14,0,4660.285714285715
2021-08-15,0,5135.714285714285
2021-08-16,12498,5530.285714285715
2021-08-17,3912,6059.142857142857
2021-08-18,8324,6059.142857142857
2021-08-19,8400,6059.142857142857
2021-08-20,9280,6960.857142857143
2021-08-21,0,7223.0
2021-08-22,0,7685.428571428572
2021-08-23,18810,8289.142857142857
2021-08-24,5747,8681.857142857143
2021-08-25,11561,8681.857142857143
2021-08-26,12626,8681.857142857143
2021-08-27,12029,9320.142857142857
2021-08-28,0,9320.57142857143
2021-08-29,0,9602.0
2021-08-30,23278,9757.57142857143
2021-08-31,5750,10075.0
2021-09-01,13531,10075.0
2021-09-02,13715,10075.0
2021-09-03,14251,10469.142857142857
2021-09-04,0,10608.57142857143
2021-09-05,0,10613.42857142857
2021-09-06,26037,10858.57142857143
2021-09-07,6726,10675.42857142857
2021-09-08,13565,10675.42857142857
2021-09-09,15431,10675.42857142857
2021-09-10,12969,10394.42857142857
2021-09-11,0,10337.142857142857
2021-09-12,0,10178.57142857143
2021-09-13,24070,9820.57142857143
