date,S,E,I,Q,R,predicted_new
2020-04-17,57464200.45566198,421768.04659074114,510550.91194058023,2709736.065313182,64893744.52049359,296119.1552436872
2020-04-18,57195949.49919828,345728.95788108563,419821.1088542601,2517967.0248394297,65520533.409227036,242137.24963153002
2020-04-19,56976722.16952266,282957.15609891806,344485.6552625461,2332642.851218804,66063192.16789716,197776.06504102287
2020-04-20,56797739.77380213,231288.0265784847,282179.18293965264,2155172.8257239084,66533620.190955915,161396.13125279287
2020-04-21,56651734.028290965,188857.93186901094,230814.07312341165,1986514.5101010664,66942079.456615634,131611.30102330123
2020-04-22,56532708.496582925,154081.44505055048,188579.9501846213,1827256.5815663317,67297373.52661565,107258.97186410602
2020-04-23,56435730.09685853,125622.26017991464,153927.79095148476,1677692.4932299068,67607027.35878024,87370.13749556542
2020-04-24,56356749.82953188,102362.18989390269,125545.91398958297,1537884.193246828,67877457.8733379,71141.14164826936
2020-04-25,56292450.46862264,83370.90692874379,102332.63584697047,1407716.0688697817,68114129.91973193,57908.07970817438
2020-04-26,56240118.35333233,67877.89598385614,83368.59119477018,1286939.804206201,68321695.3552829,47124.213482843435
2020-04-27,56197536.248674534,55247.31249232342,67890.48214819812,1175211.102849242,68504114.85383576,38340.42324769966
2020-04-28,56162894.29019089,44955.96628425097,55267.17069443134,1072119.3366703414,68664763.23616016,31188.520403551214
2020-04-29,56134716.311661005,36574.367203041744,44978.50615056623,977211.1501969857,68806519.66478848,25367.153903535487
2020-04-30,56111799.08048979,29750.60376697503,36596.93452438628,890009.0062081442,68931844.37501079,20629.99848244347
2020-05-01,56093162.36208548,24196.771486737045,29771.76481947903,810025.524416206,69042843.5771922,16775.922526048376
2020-05-02,56078007.90786709,19677.61462438959,24215.839042751977,736774.4046954955,69141324.23377036,13640.833768516588
2020-05-03,56065685.899210066,16001.090500056205,19694.350049269073,669778.5538094144,69228840.10643128,11090.952149013607
2020-05-04,56055667.49352997,13010.557184227713,16015.512676524459,608575.9851896109,69306730.45141974,9017.27133604273
2020-05-05,56047522.398873344,10578.331249152807,13022.822222775345,552723.9436170934,69376152.50403772,7331.011064588169
2020-05-06,56040900.57341768,8600.388424545908,10588.659456741228,501801.63230153813,69438108.74639957,5959.891200838491
2020-05-07,56035517.300726905,6992.016035911363,8609.020885204176,455411.8519947043,69493469.81035735,4845.082546634382
2020-05-08,56031141.02661771,5684.251781477591,6999.189763310727,413181.8020980928,69542993.72973947,3938.7153235679234
2020-05-09,56027583.45126774,4620.971130801202,5690.1866173461585,374763.2458678094,69587342.14511636,3201.845202750575
2020-05-10,56024691.461713284,3756.507954001874,4625.863852812276,339832.20149332087,69627093.96498664,2602.7942474708107
2020-05-11,56022340.56417813,3053.7124435844325,3760.5303312936103,308088.2876592649,69662756.90538777,2115.7983583673577
2020-05-12,56020429.54043937,2482.367582402947,3057.0119792579335,279253.8247285686,69694777.25527045,1719.9055236431125
2020-05-13,56018876.09959401,2017.8982375529113,2485.0694410356928,253072.77153986957,69723548.16118759,1398.0785199414188
2020-05-14,56017613.341000415,1640.3199119257035,2020.1075216433983,229309.55938331084,69749416.67218278,1136.4643238968963
2020-05-15,56016586.877594955,1333.3823105997888,1642.1243761944065,207747.87058609576,69772689.74513222,923.7997557449363
2020-05-16,56015752.4962153,1083.8726805868348,1334.854758350981,188189.39799867474,69793639.37834717,750.9276119197474
2020-05-17,56015074.2551319,881.048365950283,1085.0733486277782,170452.61214608827,69812507.01100752,610.4032786870249
2020-05-18,56014522.936992794,716.175631838157,882.0268492138446,154371.55599972088,69829507.30452652,496.1745096756376
2020-05-19,56014074.791134514,582.154091180153,716.9726502567421,139794.68129206044,69844831.40083207,403.3212218310293
2020-05-20,56013710.51089112,473.2114543297284,582.8030416823192,126583.7361727323,69858649.73844025,327.84375405922736
2020-05-21,56013414.40220453,384.65522015912023,473.7396740358926,114612.710338581,69871114.4925628,266.49073432078393
2020-05-22,56013173.70774724,312.6707624120296,385.08506070852104,103766.84121781451,69882361.69521193,216.61912329917263
2020-05-23,56012978.05743014,254.1571391805281,313.0204746818025,93941.6827305382,69892513.08222556,176.080415070766
