date,S,E,I,R,predicted_new
2022-03-22,95985883.24838948,5.9392220759210524e-08,7.307334492258924e-08,30014116.75161031,5.010006824506389e-08
2022-03-23,95985883.24838944,5.619656204213573e-08,6.914155900497501e-08,30014116.751610365,4.740438293045115e-08
2022-03-24,95985883.2483894,5.3497025140625724e-08,6.582017812667566e-08,30014116.75161041,4.512719952182345e-08
2022-03-25,95985883.24838936,5.0962952460374e-08,6.270237649747618e-08,30014116.751610454,4.2989592784880726e-08
2022-03-26,95985883.24838932,4.858036187429759e-08,5.977095117603681e-08,30014116.751610495,4.097976815163034e-08
2022-03-27,95985883.24838929,4.6334787624589965e-08,5.700810418476062e-08,30014116.751610532,3.908552308921747e-08
2022-03-28,95985883.24838926,4.4211177829235956e-08,5.4395316406712054e-08,30014116.75161057,3.7294160641956114e-08
2022-03-29,95985883.24838923,4.2193791988526535e-08,5.191322148253563e-08,30014116.751610603,3.559240297336026e-08
2022-03-30,95985883.2483892,4.026609849157375e-08,4.95414797073745e-08,30014116.751610637,3.396630490817494e-08
2022-03-31,95985883.24838917,3.841067212282549e-08,4.725865192778912e-08,30014116.75161067,3.240116747440734e-08
2022-04-01,95985883.24838914,3.6609091568580414e-08,4.5042073438675816e-08,30014116.7516107,3.0881451445357905e-08
2022-04-02,95985883.24838911,3.484183692350277e-08,4.286772788018544e-08,30014116.75161073,2.939069088165139e-08
2022-04-03,95985883.2483891,3.3088187197137265e-08,4.0710121134641976e-08,30014116.75161076,2.7911406673268014e-08
2022-04-04,95985883.24838907,3.1338652853967376e-08,3.8557577732266105e-08,30014116.751610793,2.643559396107129e-08
2022-04-05,95985883.24838905,2.9902615223268084e-08,3.6790745742371415e-08,30014116.751610816,2.5224230181774493e-08
2022-04-06,95985883.24838902,2.8533569412101488e-08,3.5106337277976985e-08,30014116.75161084,2.406937708030333e-08
2022-04-07,95985883.248389,2.722592272954335e-08,3.3497471362149016e-08,30014116.751610864,2.2966316966310645e-08
2022-04-08,95985883.24838899,2.597425221000595e-08,3.195747584021182e-08,30014116.751610886,2.1910475320798457e-08
2022-04-09,95985883.24838896,2.4773274563502877e-08,3.047985040800917e-08,30014116.751610905,2.0897395447796635e-08
2022-04-10,95985883.24838895,2.3617816125913788e-08,2.905822964016569e-08,30014116.751610924,1.9922713126041563e-08
2022-04-11,95985883.24838893,2.250278280924922e-08,2.7686346018348208e-08,30014116.751610946,1.8982131260654778e-08
2022-04-12,95985883.24838892,2.1423130051915345e-08,2.6357992959527113e-08,30014116.751610965,1.807139453482162e-08
2022-04-13,95985883.2483889,2.0373832768978762e-08,2.5066987844237736e-08,30014116.75161098,1.718626406146991e-08
2022-04-14,95985883.24838889,1.934985530243128e-08,2.3807135044841715e-08,30014116.751610998,1.6322492034948603e-08
2022-04-15,95985883.24838887,1.8346121371454682e-08,2.2572188953788347e-08,30014116.751611017,1.5475796382706436e-08
2022-04-16,95985883.24838884,1.736205844757254e-08,2.1361445157902123e-08,30014116.751611035,1.4645694149594675e-08
2022-04-17,95985883.24838884,1.6468192767347053e-08,2.0261675646673913e-08,30014116.75161105,1.389167737884547e-08
2022-04-18,95985883.24838883,1.5608066301629466e-08,1.9203417252874487e-08,30014116.751611065,1.3166121188603616e-08
2022-04-19,95985883.24838881,1.4781087044800896e-08,1.818594160048274e-08,30014116.75161108,1.2468526194471095e-08
2022-04-20,95985883.2483888,1.3986916188291577e-08,1.72088318348241e-08,30014116.751611095,1.179860659527559e-08
2022-04-21,95985883.24838878,1.322545513788284e-08,1.6271966649269962e-08,30014116.751611106,1.1156279221560734e-08
2022-04-22,95985883.24838878,1.2496832531009112e-08,1.5375504311937084e-08,30014116.751611117,1.0541652584076366e-08
